"gmat","gpa","work  experience","admitted"
"0780","0004","0003","0001"
"0750","0003.9","0004","0001"
"0690","0003.3","0003","0000"
"0710","0003.7","0005","0001"
"0680","0003.9","0004","0000"
"0730","0003.7","0006","0001"
"0690","0002.3","0001","0000"
"0720","0003.3","0004","0001"
"0740","0003.3","0005","0001"
"0690","0001.7","0001","0000"
"0610","0002.7","0003","0000"
"0690","0003.7","0005","0001"
"0710","0003.7","0006","0001"
"0680","0003.3","0004","0000"
"0770","0003.3","0003","0001"
"0610","0003","0001","0000"
"0580","0002.7","0004","0000"
"0650","0003.7","0006","0001"
"0540","0002.7","0002","0000"
"0590","0002.3","0003","0000"
"0620","0003.3","0002","0001"
"0600","0002","0001","0000"
"0550","0002.3","0004","0000"
"0550","0002.7","0001","0000"
"0570","0003","0002","0000"
"0670","0003.3","0006","0001"
"0660","0003.7","0004","0001"
"0580","0002.3","0002","0000"
"0650","0003.7","0006","0001"
"0660","0003.3","0005","0001"
"0640","0003","0001","0000"
"0620","0002.7","0002","0000"
"0660","0004","0004","0001"
"0660","0003.3","0006","0001"
"0680","0003.3","0005","0001"
"0650","0002.3","0001","0000"
"0670","0002.7","0002","0000"
"0580","0003.3","0001","0000"
"0590","0001.7","0004","0000"
"0690","0003.7","0005","0001"
